Mode,Task,Role,Duration,Quality,API_Calls
Shepherd,系统架构,架构师,2.2,0.9,undefined
Shepherd,API开发,后端工程师,3.2,0.85,undefined
Shepherd,前端页面,前端工程师,2.5,0.85,undefined
Shepherd,部署配置,DevOps,2.4,0.85,undefined
Shepherd,测试用例,测试工程师,3.0,0.85,undefined
Agile,系统架构,架构师,2.7,0.82,undefined
Agile,API开发,后端工程师,3.8,0.82,undefined
Agile,前端页面,前端工程师,2.2,0.82,undefined
Agile,部署配置,DevOps,2.9,0.82,undefined
Agile,测试用例,测试工程师,2.6,0.82,undefined
Waterfall,系统架构,架构师,4.0,0.75,undefined
Waterfall,API开发,后端工程师,3.0,0.75,undefined
Waterfall,前端页面,前端工程师,3.4,0.75,undefined
Waterfall,部署配置,DevOps,3.8,0.75,undefined
Waterfall,测试用例,测试工程师,3.2,0.75,undefined
Chaotic,前端页面,前端工程师,6.4,0.5,undefined
Chaotic,API开发,后端工程师,3.9,0.5,undefined
Chaotic,系统架构,架构师,2.3,0.5,undefined
Chaotic,测试用例,测试工程师,5.2,0.5,undefined
Chaotic,部署配置,DevOps,5.3,0.5,undefined
